ra,dec,t03_bar_a07_no_bar_fraction,t03_bar_a06_bar_fraction
161.102,4.748411,0.161,0.839
163.3579,4.821985,0,1
135.3917,3.72965,0.167,0.833
140.5658,4.082637,0,1
147.609,4.484759,0.016,0.984
155.7708,4.810994,0,1
159.6777,5.028872,0,1
120.5428,35.66726,0.133,0.867
123.3964,38.92837,0.032,0.968
117.1261,33.37629,0.043,0.957
130.0168,33.70198,0.194,0.806
133.2516,35.64149,0,1
141.1543,39.99697,0.167,0.833
145.8615,42.18679,0,1
146.7679,42.52118,0.047,0.953
166.465,47.97384,0.119,0.881
168.4371,48.2727,0,1
172.5462,48.88755,0,1
175.532,49.09641,0,1
214.2756,45.61707,0.051,0.949
132.1063,35.61533,0.022,0.978
185.6174,56.86608,0,1
187.5504,56.70215,0.029,0.971
214.3489,52.96407,0,1
225.389,49.11243,0.103,0.897
193.5202,56.81669,0,1
196.3028,56.71344,0.128,0.872
197.9497,56.54989,0.108,0.892
206.5384,55.16037,0,1
179.597,57.5928,0.032,0.968
201.643,56.41342,0.081,0.919
174.7057,57.53191,0.057,0.943
175.1425,57.62188,0,1
161.7423,34.2088,0.167,0.833
170.7905,35.68561,0,1
162.2428,34.83135,0.121,0.879
171.6798,36.16514,0.094,0.906
162.1034,34.71141,0.136,0.864
165.1478,35.6311,0,1
169.7417,36.32484,0.129,0.871
174.9282,36.88876,0,1
193.1187,37.16156,0,1
179.7924,37.7934,0,1
122.2179,14.86258,0.073,0.927
124.0359,15.66516,0.091,0.909
126.1971,16.75258,0.186,0.814
134.3664,20.12898,0.021,0.979
164.3195,28.54166,0.143,0.857
210.5553,16.87487,0.091,0.909
219.7149,15.45612,0.189,0.811
242.6106,12.30568,0.119,0.881
243.4013,12.20961,0.097,0.903
240.6202,13.8848,0.091,0.909
240.6467,13.94177,0.103,0.897
173.7845,15.95862,0,1
196.814,16.0865,0.186,0.814
165.6166,15.78185,0,1
174.4044,16.55621,0,1
176.2418,16.58052,0.082,0.918
184.9259,43.86971,0.081,0.919
189.2614,43.75661,0,1
153.7565,39.66354,0,1
156.3101,40.48645,0.176,0.824
175.1363,43.72953,0,1
178.96,44.13529,0.118,0.882
180.6964,44.2373,0.068,0.932
205.251,42.43143,0.043,0.957
213.7246,40.51432,0.16,0.84
251.6451,43.01872,0.114,0.886
258.7397,33.33514,0.171,0.829
248.5741,47.4227,0.091,0.909
255.2765,39.20416,0.182,0.818
256.1927,38.23553,0.148,0.852
249.4428,46.975,0,1
250.6506,46.01278,0.116,0.884
250.5511,46.75541,0.121,0.879
152.7642,54.36679,0,1
158.3934,7.806522,0.154,0.846
193.5628,8.833841,0,1
130.5399,5.141543,0.167,0.833
144.7466,6.95544,0.103,0.897
147.6436,7.141078,0.163,0.837
153.3988,7.84441,0.068,0.932
168.0346,8.75948,0,1
223.6964,7.977262,0,1
225.7689,7.711851,0.13,0.87
227.0703,7.642673,0,1
228.1814,7.504715,0,1
229.5214,7.329693,0,1
235.0276,6.581778,0.13,0.87
235.4466,6.614535,0.15,0.85
237.3683,6.235897,0.121,0.879
242.2295,5.635195,0.179,0.821
198.3357,10.32097,0.163,0.837
203.2045,10.13092,0,1
206.5444,9.744142,0,1
209.7911,9.694922,0.186,0.814
226.6751,7.977896,0,1
229.6178,7.658786,0.105,0.895
217.1035,9.445777,0.146,0.854
126.4392,19.44929,0.021,0.979
146.2437,27.99661,0.185,0.815
126.3003,20.33475,0.159,0.841
140.3235,26.70986,0.146,0.854
133.5464,24.48872,0.174,0.826
140.0181,27.05633,0,1
144.0788,28.78148,0,1
137.2548,18.77085,0.158,0.842
140.9714,20.0452,0,1
152.6071,23.1041,0.192,0.808
156.0876,24.01703,0.192,0.808
161.0849,24.89604,0.024,0.976
162.9476,25.13219,0.171,0.829
173.4673,26.52213,0.03,0.97
136.8021,18.95483,0.176,0.824
155.8865,24.32514,0.125,0.875
172.2684,26.87948,0.061,0.939
177.2728,27.25154,0.081,0.919
131.3766,9.926973,0.133,0.867
140.1977,11.77408,0.053,0.947
148.9877,13.55421,0.021,0.979
151.7585,13.98385,0.116,0.884
130.8758,10.0908,0,1
136.6762,11.58194,0.023,0.977
151.4472,14.33875,0,1
128.432,9.990421,0.023,0.977
152.4964,15.00571,0,1
120.8309,8.258202,0.023,0.977
138.6271,12.90938,0.196,0.804
219.2783,9.373966,0.128,0.872
220.3615,9.257466,0.195,0.805
222.3722,9.079209,0,1
223.872,8.808068,0.167,0.833
225.2569,8.644403,0,1
231.4691,7.819623,0.049,0.951
179.814,11.88498,0.154,0.846
182.3373,11.88008,0,1
200.9581,11.43484,0,1
217.1621,10.20496,0.143,0.857
221.9975,9.426229,0.162,0.838
222.8456,9.416949,0,1
224.2211,9.27163,0.075,0.925
230.4181,8.41553,0.068,0.932
232.6836,7.870114,0.05,0.95
141.5829,50.57089,0,1
152.5678,54.68931,0,1
172.191,58.5935,0,1
140.7849,50.8354,0.12,0.88
176.8988,59.46721,0.037,0.963
183.5754,59.61544,0.135,0.865
202.2608,58.44167,0.132,0.868
203.4079,58.30331,0.121,0.879
204.2142,58.24465,0.194,0.806
147.2801,6.219278,0.054,0.946
163.9544,7.245577,0.086,0.914
148.6573,6.870497,0,1
165.837,7.926148,0,1
169.2943,7.920397,0.111,0.889
171.417,8.070833,0,1
216.9666,7.764944,0.182,0.818
238.2962,5.357133,0.065,0.935
198.785,9.348723,0.109,0.891
198.965,9.493891,0.069,0.931
199.2657,9.365643,0.171,0.829
202.8282,9.23073,0,1
225.7637,7.363617,0.143,0.857
230.9538,6.683524,0,1
232.5344,6.519781,0,1
232.8104,6.497301,0.088,0.912
233.9953,6.382573,0.051,0.949
205.6914,9.446903,0.053,0.947
218.1142,8.432183,0,1
176.6821,34.99889,0.194,0.806
181.6954,35.31134,0.161,0.839
178.7176,35.60397,0.062,0.938
179.8517,35.60208,0,1
183.9535,36.1232,0.171,0.829
160.0956,31.40796,0.136,0.864
204.1751,26.65015,0,1
169.3411,27.6732,0,1
185.1875,28.46033,0,1
