objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,spiral,elliptical
1237651800162566313,155.033679869998,-0.685092607882087,19.48022,17.57885,16.6196,16.22184,15.92048,1,0
1237648721219616883,154.535588626542,-0.0842082983137502,19.02673,17.30873,16.43943,15.94453,15.55786,1,0
1237648722829377732,152.734948889145,1.0720624138123,17.46321,16.36147,15.91565,15.67728,15.49702,1,0
1237648721219616970,154.618369032971,-0.0706202266834076,19.14333,17.45457,16.61268,16.13188,15.75954,1,0
1237648721218371802,151.823099026824,-0.0786824675714199,18.2717,16.72498,16.06901,15.66813,15.39456,1,0
1237651800698061129,151.936789814809,-0.222119572456266,18.91709,17.57351,16.90899,16.56415,16.3258,1,0
1237648722830491852,155.280834741177,1.12230918622741,20.19068,18.30597,17.34063,16.85937,16.50722,1,0
1237651801234997476,152.099427133798,0.109889750349295,19.7605,18.42214,17.65675,17.19683,16.87348,1,0
1237651752388788369,154.979558796637,1.0269624200521,19.95021,18.20056,17.49929,17.09255,16.80385,1,0
1237648721756553331,154.688067485719,0.390736771736585,18.3455,16.69315,15.87983,15.42195,15.08423,1,0
1237648720144564402,151.677086153567,-0.892613101979086,19.22618,17.99208,17.3489,16.91656,16.68725,1,0
1237648721756618951,154.883551721181,0.295965344382885,19.10662,17.38255,16.58115,16.17962,15.86964,1,0
1237648722293686422,155.329963273935,0.722288094553919,19.25979,18.00863,17.31078,16.93011,16.65433,1,0
1237648722293686401,155.303877583389,0.66920178368317,19.59507,18.09918,17.33926,16.93719,16.65735,1,0
1237654670811725972,155.516023628618,0.470006692568776,19.16568,17.20844,16.20848,15.77735,15.42032,1,0
1237648721756881192,155.548917428635,0.234652694560465,20.36156,18.60969,17.74934,17.32699,16.97381,1,0
1237648721756815543,155.412524103502,0.324675257191812,19.82978,18.18309,17.26494,16.84147,16.50595,1,0
1237651801236504831,155.568121304783,0.154355943136761,18.59428,17.60611,17.35768,17.15572,16.99168,1,0
1237651801236439223,155.358788778817,0.106662660649006,20.33396,18.38393,17.31721,16.85105,16.52529,1,0
1237651752389181577,155.951803935356,1.00797824779444,19.23318,17.88514,17.25495,16.86129,16.67114,1,0
1237651752389116087,155.855724672364,0.95559526021826,18.24566,17.096,16.6169,16.31683,16.09759,1,0
1237654671348793485,155.96295344679,0.845305306654628,19.02431,17.18961,16.32937,15.92914,15.63696,1,0
1237651801773506780,155.754518954841,0.540019625073293,19.06996,17.72637,16.92616,16.52677,16.33514,1,0
1237651801773506704,155.816937846149,0.624009482035016,17.52514,16.28431,15.64931,15.26921,15.05325,1,0
1237648722293883162,155.788458098183,0.657302501680107,20.31298,18.35006,17.35592,16.83838,16.4176,1,0
1237648721757012098,155.746575913229,0.321947694225582,18.6355,17.52348,17.05087,16.67984,16.49736,1,0
1237654671348924581,156.206771251697,0.866613269805169,19.61355,18.28302,17.61691,17.23707,16.98844,1,0
1237654671348990099,156.313167940405,0.892645068252386,17.83038,16.81424,16.45185,16.26147,16.09964,1,0
1237654671348924554,156.166631502999,0.893736821144202,19.74399,18.06274,17.20471,16.7581,16.42779,1,0
1237654671348924431,156.155435442649,0.909141017158527,20.21318,18.00434,17.10314,16.55271,16.13082,1,0
1237651801236701462,155.890399494648,0.200618201916213,19.85175,17.96436,17.04392,16.59365,16.24795,1,0
1237651801234342050,150.485767971953,0.187789479787882,19.68545,18.18192,17.47779,17.00407,16.70483,1,0
1237654670811922566,155.850272624843,0.444281134916405,19.41778,18.00081,17.32565,16.96851,16.67553,1,0
1237651801234210980,150.318760550398,0.120926821782939,18.11355,16.76229,16.16473,15.77014,15.51353,1,0
1237651801236635891,155.841191531743,0.174097595945874,20.10684,18.18852,17.30513,16.85066,16.58632,1,0
1237651801236701505,155.944235624656,0.18123952137221,20.12052,18.36008,17.44591,16.98637,16.68543,1,0
1237651801236701524,155.972915804245,0.153397635737749,19.0976,17.88078,17.45956,17.1378,17.11761,1,0
1237654670812053639,156.242129449283,0.448974387766491,18.44742,17.29738,16.67823,16.33085,16.11094,1,0
1237648721757143285,156.164677879097,0.308908443683385,19.53812,18.01272,17.09555,16.60636,16.28045,1,0
1237651801773703177,156.202399324357,0.593905829077128,18.03745,17.19679,16.72118,16.24524,16.02179,1,0
1237654670811988109,156.092479808351,0.465436245554985,18.27589,17.23823,16.77318,16.47838,16.34691,1,0
1237651752387739910,152.654909284674,1.02669229490775,19.04811,17.66433,17.06532,16.71351,16.52239,1,0
1237651801236766995,156.159658429134,0.12179967083745,19.81462,18.34403,17.63786,17.19501,16.92391,1,0
1237651801773768822,156.347559304464,0.585321976968157,20.47581,18.40681,17.17107,16.63313,16.23089,1,0
1237648722292441335,152.527565117203,0.835741600709711,19.06936,17.73551,17.10842,16.71266,16.41515,1,0
1237651801773768885,156.45100195023,0.552698347720237,19.88355,18.01866,17.0676,16.59608,16.26162,1,0
1237648721755570433,152.519492442876,0.354572544829981,19.77244,18.49366,17.72916,17.09126,16.65782,1,0
1237651752386429097,149.657303528551,0.870738911416265,18.19046,16.96579,16.53027,16.26377,16.05316,1,0
