objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,spiral,elliptical
1237648721757929638,157.931151948472,0.255964395801443,18.04156,16.11378,15.24615,14.85167,14.53406,0,1
1237654670812774526,157.816550541404,0.468757155701579,19.65477,17.9923,17.05064,16.66448,16.33878,0,1
1237654670812840148,158.07608528232,0.613348417032014,20.13135,18.27567,17.35633,16.98331,16.67422,0,1
1237654670812905613,158.139387821608,0.531388911878707,19.1128,17.22891,16.32042,15.93935,15.61307,0,1
1237648721758191792,158.481085548832,0.395857627051642,20.38742,18.52151,17.37374,16.92457,16.59734,0,1
1237654670813036633,158.43027861584,0.545925303709333,20.90047,18.78567,17.58094,17.12535,16.80234,0,1
1237651752390230161,158.391649024323,1.01167013117056,19.01084,17.23618,16.13644,15.66457,15.32417,0,1
1237654670276231299,158.591554632923,0.155652520651732,19.7048,17.97508,16.7056,16.21673,15.87385,0,1
1237654670276231328,158.621906911732,0.0681697765748604,19.63585,17.82295,16.78107,16.3621,16.02248,0,1
1237654670276165903,158.516309305878,0.0565980852606377,20.09231,17.95631,16.66929,16.17497,15.82053,0,1
1237654670813167710,158.752652406244,0.594177527083555,18.94586,16.97751,16.1371,15.75875,15.44667,0,1
1237648722295128122,158.710756310182,0.676398786120288,16.69994,14.98558,14.26366,13.91131,13.6437,0,1
1237654670276427952,159.024027325387,0.101890384035634,17.79819,15.8047,14.81169,14.38165,14.01374,0,1
1237648720142336237,146.571322012569,-0.957206943582653,18.31783,16.87568,16.134,15.70531,15.38338,1,0
1237648720142336185,146.51281767756,-0.84578295276744,17.10778,15.97345,15.35928,14.95238,14.70755,1,0
1237648720142139633,146.118343278755,-0.868177186102889,20.04115,18.57258,17.79277,17.36667,17.11607,1,0
1237648720143122623,148.394539945078,-0.887741520902375,19.81024,17.81677,16.76925,16.27121,15.87233,1,0
1237648720143122523,148.269459631154,-0.856689938524943,18.98252,17.32466,16.42659,15.94295,15.59269,1,0
1237648720143122589,148.353524191363,-0.905034896831022,19.7293,18.40925,17.65373,17.24229,16.9861,1,0
1237648720142925946,147.807541553929,-0.884592690706725,18.43237,16.97739,16.2827,15.95213,15.68467,1,0
1237648720142729338,147.431091162009,-0.867265692862485,20.29474,18.44779,17.57978,17.10489,16.767,1,0
1237648720142729437,147.486413711029,-0.975160018048252,19.22106,17.26117,16.31845,15.88289,15.53336,1,0
1237648720142663815,147.229897127904,-0.898338718715122,18.55024,17.47621,17.07154,16.82076,16.70491,1,0
1237648720142598416,147.07785378333,-0.873018113028504,18.88694,17.29008,16.48107,16.02309,15.68863,1,0
