objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,spiral,elliptical
1237651735767089483,203.212507759414,1.77633404564681,20.59246,18.43699,17.29543,16.85062,16.5174,0,1
1237651736301273204,196.978298219865,2.41054504145541,20.1586,18.54551,17.60912,17.17195,16.85061,0,1
1237651736301535411,197.655143932333,2.35443048249634,17.57647,15.53627,14.64584,14.2369,13.94348,0,1
1237651736302059673,198.788347340598,2.42637218829424,20.493,18.6732,17.46424,17.00898,16.67878,0,1
1237651736302321948,199.473567831896,2.21806895277502,18.31886,16.35124,15.48858,15.09252,14.76254,0,1
1237651736302321970,199.365376559753,2.31243003897856,20.83635,18.88659,17.38092,16.78306,16.39414,0,1
1237651736302387330,199.540305516902,2.42050892637884,20.91773,18.88398,17.70126,17.25381,16.89736,0,1
1237651736302715120,200.312625834713,2.40654288049232,18.14591,16.21133,15.20814,14.78941,14.4331,0,1
1237651736302715157,200.335282792612,2.38405071211731,21.00103,18.79915,17.60741,17.15295,16.83085,0,1
1237651736302780554,200.448389337475,2.2524066162274,20.5383,18.60829,17.35896,16.89479,16.56388,0,1
1237651736303173791,201.286601172832,2.32332840070006,20.57205,18.61749,17.35587,16.89153,16.50214,0,1
1237651736836767926,193.923026154298,2.7134843072428,17.61881,15.88187,15.11604,14.74652,14.4682,0,1
1237651736837292181,195.114301782867,2.69434518475411,20.70806,18.82904,17.79063,17.3716,17.03628,0,1
1237651736837292211,195.013748626241,2.8814805763824,20.96567,18.61154,17.17149,16.64426,16.31999,0,1
1237651736838996126,198.989277892112,2.83138248360184,20.60937,18.54063,17.26633,16.78116,16.41097,0,1
1237651736839454915,199.996936010689,2.67129793477267,19.89992,18.05627,16.93285,16.47229,16.14145,0,1
1237651736839586082,200.37718375828,2.72364780218827,18.80873,16.88638,15.91725,15.51742,15.18018,0,1
1237651737373311069,193.094232999283,3.26502361320271,18.37973,16.37972,15.4023,14.98198,14.64711,0,1
1237651737373507766,193.525403038844,3.19520574729203,20.98303,18.83165,17.46783,16.92674,16.5962,0,1
1237651737373573225,193.710366080609,3.27875816755997,18.92044,16.88953,15.88009,15.42879,15.06728,0,1
1237651737374359708,195.544906797741,3.10661290747486,16.13113,14.7207,14.05988,13.71738,13.4616,0,1
1237651737374425241,195.681596899929,3.27685028118476,19.51414,17.5078,16.57433,16.12301,15.74994,0,1
1237651737374949472,196.926453600145,3.22095379510985,17.47,16.34586,15.73296,15.35263,15.08136,0,1
1237651737376391416,200.205824401441,3.21426996222649,20.49162,18.53089,17.42081,16.94869,16.62633,0,1
1237651737376391428,200.216072687142,3.08370894618465,20.46995,18.71517,17.36371,16.87356,16.50904,0,1
