objid,ra,dec,petroMag_u,petroMag_r,extinction_u,extinction_r,spiral,elliptical
1237651800159027384,146.951652205062,-0.592156399347983,19.79375,17.84402,0.4348003,0.2343758,1,0
1237650795146445031,146.628570011888,-0.765143977025585,19.72187,16.83504,0.3157236,0.1701884,1,0
1237650796220514489,147.329501903488,0.028900744222666,18.27413,15.70556,0.318304,0.1715793,1,0
1237648720142336237,146.571322012569,-0.957206943582653,18.46643,16.24518,0.2248645,0.1212114,1,0
1237648720142336185,146.51281767756,-0.84578295276744,17.58109,15.69998,0.2638339,0.1422177,1,0
1237650795683446896,146.857573291711,-0.218793947395657,20.37545,17.60717,0.5966072,0.3215965,1,0
1237650796220252232,146.760769036535,0.0159539082586567,21.75403,17.71375,0.6725608,0.3625387,1,0
1237650795146248321,146.093683842779,-0.793093696168647,18.48178,15.85149,0.2188797,0.1179854,1,0
1237648720142139633,146.118343278755,-0.868177186102889,20.34799,17.82652,0.2194566,0.1182964,1,0
1237648721216143430,146.603616489947,-0.191463034874475,18.69237,17.00637,0.6045931,0.3259012,1,0
1237648720679272634,146.629629363229,-0.465660529958573,19.27576,16.96149,0.4343251,0.2341196,1,0
1237648721216143524,146.661339555413,-0.103348062531791,20.13288,17.93375,0.7499584,0.4042593,1,0
1237650795683381498,146.7479565895,-0.268305342340758,20.83934,17.86486,0.5689608,0.3066939,1,0
1237648721216078463,146.594472143017,-0.133158613969149,19.07294,17.71657,0.6751227,0.3639196,1,0
1237648720678944894,145.874449045454,-0.608755056278409,18.20591,16.04546,0.2511499,0.1353804,1,0
1237648721215946942,146.299838928994,-0.119995463758507,17.87394,15.30955,0.6883183,0.3710326,1,0
1237648721216012368,146.433739057145,-0.10565768248392,22.40779,17.89417,0.6547468,0.3529362,1,0
1237650796220121207,146.347076828446,0.0754094663738096,20.60748,17.61837,0.6902549,0.3720766,1,0
1237650795683250349,146.381392930289,-0.386506983977315,20.70523,17.21555,0.4582614,0.2470223,1,0
1237650795683250364,146.399018692115,-0.350405556634752,19.5715,17.88009,0.5032459,0.2712708,1,0
1237650796220121127,146.399697063666,0.032220156076326,21.81258,18.02389,0.6980284,0.3762668,1,0
1237650796219924680,146.023373607279,0.0220080558935244,21.01377,18.01678,0.544108,0.2932972,1,0
1237650795683053764,145.987611715411,-0.342525860632833,20.73241,17.84888,0.2616647,0.1410484,1,0
1237648721215815838,145.877376522395,-0.0501882157399638,19.81768,17.6789,0.3166863,0.1707073,1,0
1237648720678944999,145.89110682792,-0.467054721353509,19.16971,17.53357,0.260133,0.1402227,1,0
1237650796219859194,145.865307498568,0.0896390088190932,20.71619,17.38391,0.4388787,0.2365742,1,0
1237650795146117231,145.754114381266,-0.753376726375304,20.06794,17.40806,0.2097352,0.1130561,1,0
1237650795146051832,145.643407364571,-0.684778926795466,19.32785,17.25209,0.2365351,0.1275024,1,0
1237650795146051795,145.708916807535,-0.747667879215391,19.81966,17.12483,0.2155514,0.1161913,1,0
1237648721215750297,145.744712993587,-0.0763443019867312,18.07164,16.59939,0.2854122,0.1538492,1,0
1237648721215684828,145.689355681244,-0.0113375561368612,19.81664,17.88824,0.273307,0.147324,1,0
1237648721215684769,145.601163277161,-0.00138168332214813,19.27516,17.07512,0.2664634,0.143635,1,0
1237650796219793525,145.622262640905,0.0346281843235314,19.71181,17.41754,0.2669306,0.1438868,1,0
1237648704023757044,145.801234298415,-0.21111036104638,20.2415,17.80345,0.3034441,0.1635692,1,0
1237650795145986089,145.487274514257,-0.806903952463781,18.80502,16.34968,0.2313548,0.12471,1,0
1237648721215553783,145.396109890313,-0.0912212082213058,19.49035,17.05483,0.2813816,0.1516766,1,0
1237650796219662548,145.413110357023,0.106488603679009,20.03085,17.8835,0.2749851,0.1482286,1,0
1237650796219728015,145.446709200943,0.0773970668854498,20.16251,17.81195,0.2586939,0.1394469,1,0
1237650795145855144,145.160444001272,-0.655478441976187,19.75308,17.51687,0.1556366,0.0838947,1,0
1237650796219662479,145.330058096625,0.0431201593743545,19.6664,17.66379,0.2766779,0.1491411,1,0
1237648722289361065,145.443109765936,0.826628242978956,19.56353,16.82163,0.5943284,0.3203681,1,0
1237650796756533434,145.341220825901,0.547317234067549,19.12237,16.95279,0.4897749,0.2640094,1,0
1237650796756533504,145.304705557272,0.562390113394189,20.41537,17.96449,0.4583573,0.247074,1,0
1237650796219596962,145.218778031565,0.147038968861957,18.82743,16.6667,0.2846546,0.1534409,1,0
1237648722289492252,145.842920284775,0.747880795447478,20.16909,17.93898,0.4630197,0.2495872,1,0
1237648722289557611,145.868109318099,0.829400963350654,20.44736,17.25401,0.4887139,0.2634374,1,0
1237650797293469823,145.544621670334,0.939369465005601,19.91967,17.06507,0.5584868,0.301048,1,0
1237650796219728046,145.471341998382,0.155196383325004,19.55678,17.26776,0.3043714,0.164069,1,0
1237648721752555616,145.556290460622,0.238524957056529,20.55634,17.79372,0.3666606,0.1976456,1,0
1237650797293600959,145.875241121335,0.912496080146214,20.36275,17.13424,0.5700819,0.3072982,1,0
1237650797293600970,145.89354739443,1.0284499808309,18.85979,17.03338,0.5449695,0.2937616,1,0
1237650796219793636,145.729432456926,0.126908720705778,18.91328,16.6341,0.3641045,0.1962677,1,0
1237648721752621257,145.800180149957,0.414171694392402,16.95268,14.48336,0.4845392,0.2611871,1,0
1237650797293797524,146.247035881694,0.924919556132646,19.5651,17.39682,0.5719244,0.3082915,1,0
1237648722289623325,146.12634901291,0.757888402903648,21.21469,17.93585,0.4522706,0.243793,1,0
1237651752384856377,146.13154382869,0.841162725075002,21.62679,17.17949,0.4480024,0.2414922,1,0
1237650796219924616,145.939699621309,0.116911696391069,19.34961,17.48522,0.530966,0.2862131,1,0
1237648721752686769,145.978463082186,0.2949623771613,19.93626,17.15907,0.5264881,0.2837994,1,0
1237648721752883489,146.411858609803,0.215356493870246,19.41124,17.54145,0.6719927,0.3622324,1,0
1237648722289885345,146.608765886994,0.804712560013826,19.58896,17.51883,0.7000949,0.3773807,1,0
1237648722289885254,146.61126419407,0.693046849576431,18.90607,17.38107,0.7840393,0.4226303,1,0
1237651752921989320,146.677204838736,1.12956919372072,19.8012,17.51063,0.6134234,0.3306611,1,0
1237651752385183960,146.798885076788,0.850533438735941,21.10424,17.8448,0.6247587,0.3367714,1,0
1237648721753145550,146.957655652356,0.39335310955137,18.54376,16.61878,0.4766018,0.2569085,1,0
1237648721753145376,146.902898425266,0.208910268160014,20.72086,16.88906,0.5110306,0.2754671,1,0
1237648721753080096,146.887742376565,0.217453980542903,19.09457,16.79746,0.5216534,0.2811932,1,0
1237648722290016415,146.91732084942,0.694847283168714,20.46231,17.79226,0.5385012,0.2902749,1,0
1237651752385315031,147.074439385566,0.885212772864989,19.31211,17.01087,0.4689069,0.2527607,1,0
1237651752385183972,146.84077585413,0.88622937077932,18.61314,16.12867,0.6161435,0.3321274,1,0
1237648721753211085,147.15058330411,0.416565392858097,18.40275,15.99125,0.3289674,0.1773273,1,0
1237648721753211064,147.128310200138,0.369214353332349,18.22424,16.17841,0.3281257,0.1768736,1,0
1237650796757385500,147.265340054179,0.465754785623371,19.28748,17.65025,0.3531507,0.1903631,1,0
1237651800159748237,148.598646234446,-0.732283715112384,18.69239,17.17256,0.1624119,0.08754688,1,0
1237648720143253733,148.666898920115,-0.899090689932191,18.87079,16.38403,0.1943597,0.1047681,1,0
1237648720143253641,148.565587239354,-0.936092311604233,19.81003,17.29423,0.1674784,0.09027791,1,0
1237654669735231788,149.168590971107,-0.380506642586411,20.68885,17.74399,0.1863415,0.100446,1,0
1237648721217257601,149.154579472032,-0.115701998585716,19.79369,17.65805,0.1412606,0.07614542,1,0
1237654669735231608,149.142427582929,-0.372420381624902,20.08642,17.08442,0.178736,0.09634624,1,0
1237651801233686770,149.117935930583,0.183975807079761,17.76194,15.44159,0.1390864,0.07497342,1,0
1237648720143188224,148.5090682336,-1.00351936725159,20.08824,17.75081,0.1639018,0.08835001,1,0
1237650795147296897,148.504456815978,-0.791651965971306,18.89301,17.49175,0.1520948,0.08198551,1,0
1237648720680321254,149.069458381291,-0.554990015186292,19.92022,16.90723,0.1628626,0.08778985,1,0
1237651800696815824,149.069371310344,-0.234000391318522,20.39053,17.59631,0.1668579,0.08994346,1,0
1237654669735166231,149.105306592207,-0.367428145985335,20.12757,17.43842,0.1672588,0.09015957,1,0
1237651801233686759,149.112540383361,0.129711336284537,18.09382,16.22128,0.1379596,0.07436606,1,0
1237651801233686692,149.02736314824,0.143257009278673,23.38626,17.88351,0.1434724,0.07733767,1,0
1237651801233686675,149.01062697576,0.139731090337452,19.41948,17.09014,0.1436311,0.07742321,1,0
1237648720143057157,148.215609591167,-0.874781647602529,19.59656,17.81066,0.1539622,0.08299214,1,0
1237648720143122623,148.394539945078,-0.887741520902375,20.19352,17.14643,0.144372,0.07782259,1,0
1237648720143122523,148.269459631154,-0.856689938524943,19.02665,16.70697,0.1491,0.08037122,1,0
1237648720143122589,148.353524191363,-0.905034896831022,19.73348,17.7118,0.1495209,0.08059807,1,0
1237650795147165945,148.266866057465,-0.78331699188777,20.22639,17.10806,0.1395948,0.07524752,1,0
1237654670271971603,148.908429448306,0.00872137902065287,20.18826,17.72537,0.1541746,0.0831066,1,0
1237651800696750245,148.873575816535,-0.290583056131871,19.27792,17.13368,0.1933859,0.1042432,1,0
1237648721217126725,148.979492200151,-0.190281126634072,18.44324,15.80216,0.1578553,0.0850907,1,0
1237648721217061098,148.84253281479,-0.0440964206188018,19.84507,17.0724,0.1634236,0.08809221,1,0
1237648721217061052,148.791662000458,-0.0210107386481626,19.51993,17.20503,0.1625878,0.08764169,1,0
1237650795147100328,148.00218718914,-0.784060697299451,19.54695,17.62822,0.181843,0.09802108,1,0
1237648720142991613,147.965210330569,-0.949370055096413,19.64302,17.75388,0.2119814,0.114267,1,0
1237648721216995401,148.549464046493,-0.0661549487084458,18.27001,17.03496,0.1676689,0.09038064,1,0
